Ad,Soyad,KullaniciAdi,Departman
Personel,Bir01,personel01,IT
Personel,Iki02,personel02,IT
Personel,Uc03,personel03,IT
Personel,Dort04,personel04,IT
Personel,Bes05,personel05,Satis
Personel,Alti06,personel06,Satis
Personel,Yedi07,personel07,Satis
Personel,Sekiz08,personel08,Satis
Personel,Dokuz09,personel09,Muhasebe
Personel,On10,personel10,Muhasebe
Personel,Onbir11,personel11,Muhasebe
Personel,Oniki12,personel12,Muhasebe
Personel,Onuc13,personel13,IK
Personel,Ondort14,personel14,IK
Personel,Onbes15,personel15,IK
Personel,Onalti16,personel16,IK
Personel,Onyedi17,personel17,Pazarlama
Personel,Onsekiz18,personel18,Pazarlama
Personel,Ondokuz19,personel19,Pazarlama
Personel,Yirmi20,personel20,Pazarlama
